"V1","V2","V3"
-2.8608,25.198,16.613
-13.964,-58.377,20.381
-40.247,9.3283,8.8338
-44.945,-47.114,17.858
-28.767,46.13,33.675
-25.037,41.822,-18.174
-27.079,-75.022,38.184
-23.97,-86.89,-15.904
-5.4629,-22.235,62.252
-50.913,-13.909,55.5
-36.342,-27.216,-10.793
-59.903,-2.8651,-28.945
-44.07,-8.6335,-9.5504
-49.523,-31.467,-4.6227
-40.503,-34.432,15.068
-45.588,32.154,-8.8241
-37.078,6.4643,-20.599
-15.935,11.6,-17.654
-31.657,-8.5807,-33.328
-4.4804,44.279,-14.802
-0.72512,-3.1749,-8.2278
-23.557,54.974,2.6581
-5.0726,50.863,23.753
-39.613,31.8,17.69
-58.572,-1.7855,21.728
-39.838,10.138,53.482
-60.675,-40.062,44.078
-43.339,-73.013,36.043
-32.974,-50.13,50.405
-13.517,-56.586,59.523
-25.504,-25.809,65.592
-13.671,22.997,54.935
-10.881,5.1974,38.854
-7.9422,-45.434,40.885
-1.2948,-25.561,26.32
-15.173,-77.538,31.824
-22.742,-97.691,16.193
-11.048,-77.747,6.0414
-48.078,-70.366,5.7567
-46.157,-45.446,-14.867
-31.745,-46.17,-6.231
-12.889,-39.425,1.4504
-39.83,-0.94345,7.0498
-40.332,-20.884,6.1049
-36.364,-11.93,18.55
-53.368,3.1774,-15.791
-59.249,-14.052,-14.144
-61.232,-8.443,-4.9237
-68.245,-24.594,7.5639
-46.996,-41.874,6.8822
-66.12,-39.218,15.812
-36.544,24.258,6.4268
-35.415,16.043,0.80389
-36.152,39.616,-10.754
-29.998,25.933,-22.681
-31.1,23.656,-10.215
-43.083,1.4121,-18.141
-43.975,12.536,-33.369
-24.276,9.6668,-42.573
-48.328,-4.5729,-44.353
-16.894,26.851,-25.355
-27.578,7.0766,-17.247
-31.201,-5.7686,-23.152
-25.992,-11.148,-13.534
-24.927,-17.203,-20.933
-8.4375,51.159,-23.618
-7.6445,29.91,-25.076
-4.0675,38.686,-1.8249
-0.74814,15.358,4.8203
-5.7136,24.697,-12.89
-8.8256,5.9834,-14.198
-15.083,-16.049,-10.377
-9.1712,52.283,3.0382
-10.617,37.569,16.362
-25.718,61.164,-14.618
-7.6118,67.603,-9.7859
-13.537,63.963,11.859
-22.973,50.76,16.909
-15.142,53.291,29.179
-39.338,51.43,12.335
-35.07,39.441,26.34
-40.147,51.724,-5.0561
-49.816,37.519,2.4926
-52.855,21.016,13.066
-47.704,22.398,34.188
-28.646,31.92,43.905
-56.736,3.4056,3.7557
-44.877,9.9381,21.506
-47.292,0.84939,36.239
-48.472,-13.619,35.325
-47.587,-11.178,49.937
-57.935,-18.452,30.639
-47.453,-24.75,38.451
-54.248,-18.502,16.315
-51.344,-36.608,30.157
-57.111,-50.822,25.629
-43.724,-42.444,42.509
-36.81,-34.047,48.828
-53.313,-58.982,25.314
-48.056,-56.487,42.364
-35.865,-64.884,49.556
-31.347,-71.609,29.43
-26.084,-63.279,46.615
-27.542,-37.655,58.609
-37.193,-26.172,56.961
-16.35,-69.171,50.642
-26.404,-57.98,65.254
-18.07,-39.393,72.328
-8.9174,-42.514,67.773
-10.546,-21.52,78.88
-26.94,15.836,50.096
-19.709,37.351,42.028
-32.617,-7.8013,52.065
-23.965,-2.1145,68.77
-4.837,-0.02777,69.635
-3.7947,42.968,45.846
-5.7147,-9.2248,50.636
-6.1805,17.24,50.018
-7.4437,28.505,31.663
-2.5579,18.163,28.359
-3.6144,-8.3971,31.768
-0.76274,0.95063,22.136
-12.499,-35.575,50.132
-12.713,-20.667,38.221
-3.5962,-35.091,33.288
-6.0362,-56.935,28.066
-3.5734,-48.667,19.599
-2.4413,-67.895,36.943
-20.191,-64.595,25.303
-5.0219,-52.748,53.257
-8.1252,-77.226,46.505
-17.951,-83.744,44.169
-3.185,-75.942,19.664
-15.96,-63.559,10.142
-24.584,-85.233,23.482
-8.2413,-92.911,28.716
-5.3526,-96.663,3.5145
-22.504,-100.88,-6.3363
-4.9547,-88.735,-12.366
-33.334,-82.323,3.6988
-43.097,-85.594,-8.1029
-34.846,-82.913,18.62
-42.786,-69.788,19.963
-52.152,-59.602,11.658
-60.925,-24.585,-26.022
-64.482,-40.892,-14.564
-38.219,-73.09,-15.993
-45.669,-61.587,-6.1234
-63.423,-53.257,1.1528
-42.997,-23.798,-22.12
-17.13,-29.73,-14.335
-34.608,-27.971,-19.58
-31.103,-49.092,-18.119
-24.246,-72.349,-5.4453
-26.27,-36.236,-1.948
-16.534,-44.42,-9.2667
-14.573,-55.97,7.9347
-19.604,-58.223,3.0579
-11.308,-65.134,-4.9161
-7.8996,-25.57,-4.2819
-0.74968,-12.126,6.8375
-0.69262,-41.227,9.4665
-34.265,4.5994,12.786
-35.761,-8.0641,11.168
-40.02,-0.18951,15.3
-38.081,-8.6435,-3.7696
-43.685,-16.393,-2.5748
-37.696,-15.996,1.7591
-34.115,-21.324,9.3891
-41.5,-27.111,13.306
-32.723,-26.506,18.499
-51.469,4.8265,-6.0871
-56.83,-2.5302,-9.1756
-53.069,-3.0351,-0.3994
-52.698,0.18825,-23.772
-62.84,-3.6801,-18.992
-50.673,-7.6492,-18.066
-50.376,-14.099,-11.013
-54.174,-22.503,-8.3026
-52.91,-20.446,-4.5706
-52.978,-20.487,5.3741
-53.212,-28.04,11.83
-53.826,-13.087,6.7761
-67.587,-16.345,1.4805
-55.638,-27.639,0.22293
-67.282,-32.552,11.887
-53.338,-34.429,17.078
-47.91,-36.877,1.3534
-57.293,-34.779,4.5027
-57.237,-40.992,9.3474
-46.696,-44.794,12.947
-54.803,-45.066,15.915
-36.7,17.04,7.6661
-31.381,14.104,10.257
-40.646,31.317,-0.79431
-32.486,28.871,-1.7403
-30.222,24.82,5.8299
-36.334,6.8409,3.7686
-38.553,-2.1403,-5.6756
-44.185,35.121,-16.712
-41.818,28.499,-16.785
-39.772,25.405,-8.2031
-29.926,39.359,-14.578
-24.476,32.103,-13.483
-33.008,34.18,-14.864
-35.261,21.175,-17.372
-28.63,17.426,-15.282
-33.097,15.815,-12.165
-39.214,2.3982,-8.1595
-44.12,-2.5725,-13.928
-30.777,21.768,-4.8514
-38.297,9.0693,-9.594
-40.737,4.5372,-20.862
-49.15,12.075,-11.937
-37.949,19.193,-27.781
-46.029,18.127,-19.671
-49.659,8.0462,-24.039
-55.575,6.5754,-33.021
-45.768,4.0846,-39.855
-50.18,-5.5843,-31.713
-30.168,13.581,-31.703
-34.886,13.171,-40.008
-35.226,4.4621,-47.842
-28.368,-1.3608,-39.675
-34.54,-8.0763,-43.383
-27.547,15.736,-21.122
-32.356,6.4608,-18.305
-21.147,34.92,-21.82
-22.257,25.118,-18.026
-21.221,16.174,-23.965
-12.769,18.456,-21.789
-22.405,8.1165,-17.998
-24.567,-0.024871,-30.072
-21.029,-4.294,-30.248
-27.611,5.3158,-26.315
-28.481,-0.18767,-20.471
-24.306,0.57972,-15.36
-28.205,-9.639,-25.241
-20.953,-14.924,-31.136
-19.255,0.49284,-14.239
-29.866,-8.7348,-18.403
-35.227,-14.428,-20.471
-33.289,-18.815,-14.185
-32.45,-23.312,-16.244
-16.276,46.207,-21.384
-10.251,39.402,-27.871
-2.4375,47.623,-20.112
-2.1121,37.001,-23.285
-8.1578,40.591,-23.296
-12.521,31.568,-21.866
-12.303,23.484,-17.312
-10.439,39.839,-8.4137
